Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764043491,20,,Aggregated,16.500000,0.000000,6,14,30,45,47,49,53,61,310,310,310,527,0,6,17.462843073999412,3.2261000014841557,313.5143999825232,19597.971537001897
1764043492,20,,Aggregated,16.100000,0.000000,6,14,27,45,47,49,53,61,310,310,310,541,0,6,17.32879205184684,3.2261000014841557,313.5143999825232,19943.443622920517
1764043493,20,,Aggregated,16.200000,0.000000,6,13,26,45,47,49,53,61,310,310,310,559,0,6,17.136402683264254,3.2261000014841557,313.5143999825232,20535.923076923078
1764043494,20,,Aggregated,15.600000,0.000000,5,13,26,45,47,49,53,61,310,310,310,574,0,5,17.050545470373713,3.2261000014841557,313.5143999825232,20410.766550522647
1764043496,20,,Aggregated,15.600000,0.000000,5,13,26,45,47,49,53,61,310,310,310,587,0,5,17.06785417399472,3.2261000014841557,313.5143999825232,19970.572402044294
1764043497,20,,Aggregated,15.600000,0.000000,5,12,25,45,47,49,52,57,310,310,310,609,0,5,16.92477126473145,3.214899974409491,313.5143999825232,20022.85714285714
1764043498,20,,Aggregated,15.500000,0.000000,5,12,25,45,47,49,52,57,310,310,310,623,0,5,16.865128250534752,3.214899974409491,313.5143999825232,19954.544141252005
1764043499,20,,Aggregated,15.500000,0.000000,5,12,25,45,47,49,52,57,310,310,310,638,0,5,16.80115203746831,2.882800006773323,313.5143999825232,19859.722570532915
1764043500,20,,Aggregated,16.000000,0.000000,5,12,25,45,47,49,52,57,310,310,310,656,0,5,16.800289329073234,2.882800006773323,313.5143999825232,19678.67225609756
1764043501,20,,Aggregated,15.300000,0.000000,5,12,26,45,47,49,52,57,310,310,310,671,0,5,16.86638658725755,2.882800006773323,313.5143999825232,19935.527570789865
1764043502,20,,Aggregated,15.900000,0.000000,5,12,25,45,47,49,52,57,310,310,310,689,0,5,16.74233062413463,2.882800006773323,313.5143999825232,19764.489114658925
1764043503,20,,Aggregated,15.900000,0.000000,5,11,22,45,47,49,52,54,310,310,310,703,0,5,16.501301138050415,2.882800006773323,313.5143999825232,19384.887624466573
1764043504,20,,Aggregated,15.900000,0.000000,5,11,21,45,47,49,52,54,310,310,310,726,0,5,16.47804958695166,2.882800006773323,313.5143999825232,19746.513774104682
1764043505,20,,Aggregated,15.900000,0.000000,5,12,25,45,47,49,52,54,310,310,310,743,0,5,16.751453297840705,2.882800006773323,313.5143999825232,20242.756393001346
1764043506,20,,Aggregated,16.500000,0.000000,5,12,26,45,47,49,50,54,310,310,310,759,0,5,16.775417391472153,2.882800006773323,313.5143999825232,19828.225296442688
1764043507,20,,Aggregated,16.800000,0.000000,5,12,29,45,47,49,52,54,310,310,310,773,0,5,16.99985291082641,2.882800006773323,313.5143999825232,19781.98447606727
1764043508,20,,Aggregated,17.000000,0.000000,5,12,31,45,47,49,52,54,310,310,310,787,0,5,17.05913773829264,2.882800006773323,313.5143999825232,19738.440914866584
1764043509,20,,Aggregated,16.200000,0.000000,5,12,30,45,47,49,50,54,310,310,310,802,0,5,17.00261496264369,2.882800006773323,313.5143999825232,19967.394014962592
1764043510,20,,Aggregated,16.300000,0.000000,5,12,31,45,47,49,50,54,310,310,310,818,0,5,17.082153422935026,2.882800006773323,313.5143999825232,20167.352078239608
1764043511,20,,Aggregated,16.100000,0.000000,5,12,31,45,47,49,50,54,310,310,310,835,0,5,16.994060838210235,2.882800006773323,313.5143999825232,20051.101796407187
1764043512,20,,Aggregated,16.100000,0.000000,5,12,29,45,47,49,50,54,310,310,310,847,0,5,16.875972491158493,2.882800006773323,313.5143999825232,20053.99173553719
1764043513,20,,Aggregated,16.200000,0.000000,5,11,30,45,47,49,50,54,310,310,310,866,0,5,16.910756004618815,2.882800006773323,313.5143999825232,19628.293302540416
1764043514,20,,Aggregated,16.100000,0.000000,5,11,27,45,47,49,50,54,310,310,310,879,0,5,16.779556427843893,2.882800006773323,313.5143999825232,19616.489192263936
1764043515,20,,Aggregated,15.600000,0.000000,5,11,26,45,47,49,50,54,310,310,310,893,0,5,16.659685778447237,2.882800006773323,313.5143999825232,20119.41097424412
1764043516,20,,Aggregated,15.100000,0.000000,5,10,25,45,47,49,50,54,310,310,310,909,0,5,16.5610425745427,2.882800006773323,313.5143999825232,20038.00880088009
1764043517,20,,Aggregated,15.100000,0.000000,5,10,25,45,47,49,50,54,310,310,310,923,0,5,16.531379415148127,2.882800006773323,313.5143999825232,20260.14409534128
1764043518,20,,Aggregated,14.900000,0.000000,5,10,25,45,47,49,50,54,310,310,310,942,0,5,16.57641496825192,2.882800006773323,313.5143999825232,20371.514861995754
1764043519,20,,Aggregated,15.200000,0.000000,5,10,25,45,47,49,50,54,310,310,310,957,0,5,16.525859561215505,2.882800006773323,313.5143999825232,20311.308254963427
1764043520,20,,Aggregated,15.600000,0.000000,5,10,22,45,47,49,50,54,310,310,310,973,0,5,16.432077492413065,2.882800006773323,313.5143999825232,20481.160328879752
1764043521,20,,Aggregated,15.700000,0.000000,5,10,21,45,47,49,50,54,310,310,310,990,0,5,16.331759697259074,2.882800006773323,313.5143999825232,21110.2101010101
1764043522,20,,Aggregated,15.300000,0.000000,5,10,21,45,47,49,50,53,71,310,310,1010,0,5,16.3218626736359,2.882800006773323,313.5143999825232,22848.69108910891
1764043523,20,,Aggregated,15.300000,0.000000,5,10,21,45,47,49,50,53,71,310,310,1025,0,5,16.328927902675165,2.882800006773323,313.5143999825232,22759.578536585366
1764043524,20,,Aggregated,15.500000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1045,0,5,16.424365359042106,2.882800006773323,313.5143999825232,22333.592344497607
1764043525,20,,Aggregated,15.900000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1058,0,5,16.40032523649257,2.882800006773323,313.5143999825232,22295.783553875237
1764043526,20,,Aggregated,16.200000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1074,0,5,16.353281843844538,2.882800006773323,313.5143999825232,22427.320297951585
1764043527,20,,Aggregated,16.200000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1088,0,5,16.329759926788135,2.882800006773323,313.5143999825232,22369.117647058825
1764043528,20,,Aggregated,16.300000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1099,0,5,16.34340791656272,2.882800006773323,313.5143999825232,22595.782529572338
1764043529,20,,Aggregated,15.900000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1116,0,5,16.35702284980118,2.882800006773323,313.5143999825232,22479.232078853045
1764043530,20,,Aggregated,15.500000,0.000000,5,10,21,45,47,49,50,53,71,310,310,1133,0,5,16.256997087797345,2.882800006773323,313.5143999825232,22584.904677846425
1764043531,20,,Aggregated,15.800000,0.000000,5,10,20,45,47,49,50,53,71,310,310,1152,0,5,16.19751310813121,2.882800006773323,313.5143999825232,22863.4140625
1764043532,20,,Aggregated,15.900000,0.000000,5,10,20,45,47,49,50,53,71,310,310,1169,0,5,16.19060265234535,2.882800006773323,313.5143999825232,23173.012831479897
1764043533,20,,Aggregated,15.900000,0.000000,5,10,21,45,47,48,50,53,71,310,310,1186,0,5,16.241032884188837,2.882800006773323,313.5143999825232,22848.799325463744
1764043534,20,,Aggregated,16.300000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1199,0,5,16.30561701464836,2.882800006773323,313.5143999825232,23019.493744787324
1764043535,20,,Aggregated,16.300000,0.000000,5,10,22,45,47,49,50,53,71,310,310,1216,0,5,16.31156587231281,2.882800006773323,313.5143999825232,22704.77302631579
1764043536,20,,Aggregated,16.100000,0.000000,5,10,25,45,47,49,50,53,71,310,310,1232,0,5,16.402359740941275,2.882800006773323,313.5143999825232,22416.00568181818
1764043537,20,,Aggregated,15.700000,0.000000,5,10,25,45,47,49,50,53,71,310,310,1248,0,5,16.359637981599334,2.882800006773323,313.5143999825232,22339.879006410258
1764043538,20,,Aggregated,15.800000,0.000000,5,10,25,45,47,48,50,53,71,310,310,1264,0,5,16.37966289647149,2.882800006773323,313.5143999825232,22263.371044303796
1764043539,20,,Aggregated,15.800000,0.000000,5,10,25,45,47,48,50,53,71,310,310,1283,0,5,16.374400702302598,2.882800006773323,313.5143999825232,21942.06780982073
1764043540,20,,Aggregated,15.900000,0.000000,5,10,26,45,47,48,50,53,71,310,310,1294,0,5,16.447769629825167,2.882800006773323,313.5143999825232,21758.60200927357
1764043541,20,,Aggregated,15.900000,0.000000,5,10,25,45,47,48,50,52,71,310,310,1313,0,5,16.380705484336275,2.882800006773323,313.5143999825232,21645.10967250571
1764043542,20,,Aggregated,15.900000,0.000000,5,10,27,45,47,48,50,52,71,310,310,1330,0,5,16.45570691793989,2.882800006773323,313.5143999825232,21376.11729323308
1764043543,20,,Aggregated,16.100000,0.000000,5,10,29,45,47,48,50,52,71,310,310,1343,0,5,16.500468206177906,2.882800006773323,313.5143999825232,21364.057334326135
1764043544,20,,Aggregated,15.900000,0.000000,5,10,27,45,47,48,50,52,71,310,310,1361,0,5,16.477893534835637,2.882800006773323,313.5143999825232,21277.44452608376
1764043545,20,,Aggregated,15.800000,0.000000,5,10,27,45,47,48,50,52,71,310,310,1375,0,5,16.4559649461457,2.882800006773323,313.5143999825232,21253.051636363638
1764043546,20,,Aggregated,15.400000,0.000000,5,10,26,45,47,48,50,52,71,310,310,1392,0,5,16.37652392318337,2.882800006773323,313.5143999825232,21002.178879310344
1764043547,20,,Aggregated,15.700000,0.000000,5,10,26,45,47,48,50,52,71,310,310,1412,0,5,16.361079179327646,2.882800006773323,313.5143999825232,20713.067988668554
1764043548,20,,Aggregated,15.900000,0.000000,5,10,25,45,47,48,50,52,71,310,310,1427,0,5,16.27673286708534,2.882800006773323,313.5143999825232,20863.514365802384
1764043549,20,,Aggregated,16.500000,0.000000,5,10,22,45,47,48,50,52,71,310,310,1448,0,5,16.178829420863803,2.882800006773323,313.5143999825232,20929.408839779004
1764043550,20,,Aggregated,16.300000,0.000000,5,10,22,45,47,48,50,52,71,310,310,1460,0,5,16.173424863947034,2.882800006773323,313.5143999825232,20762.022602739726
1764043551,20,,Aggregated,16.500000,0.000000,5,10,22,45,47,48,50,52,71,310,310,1479,0,5,16.208358283462903,2.882800006773323,313.5143999825232,20853.97701149425
1764043552,20,,Aggregated,16.700000,0.000000,5,9,22,45,47,48,50,52,71,310,310,1490,0,5,16.18007483306941,2.882800006773323,313.5143999825232,20704.439597315435
1764043553,20,,Aggregated,16.400000,0.000000,5,9,21,45,47,48,50,52,71,310,310,1506,0,5,16.14877144830205,2.882800006773323,313.5143999825232,20664.24037184595
1764043554,20,,Aggregated,16.100000,0.000000,5,9,21,45,47,48,50,52,71,310,310,1524,0,5,16.135949147694067,2.882800006773323,313.5143999825232,20940.206036745407
1764043555,20,,Aggregated,16.100000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1543,0,5,16.08971866565664,2.882800006773323,313.5143999825232,20859.62994167207
1764043556,20,,Aggregated,16.200000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1558,0,5,15.984332478320972,2.882800006773323,313.5143999825232,20832.80166880616
1764043557,20,,Aggregated,16.400000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1576,0,5,15.97476751343548,2.882800006773323,313.5143999825232,20934.595812182743
1764043558,20,,Aggregated,16.200000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1591,0,5,15.977000000773643,2.882800006773323,313.5143999825232,20906.148334380894
1764043559,20,,Aggregated,16.000000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1608,0,5,15.998504727183139,2.882800006773323,313.5143999825232,21181.927860696516
1764043560,20,,Aggregated,16.400000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1625,0,5,15.955572123890025,2.882800006773323,313.5143999825232,20965.208615384614
1764043561,20,,Aggregated,16.100000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1636,0,5,15.994084291791994,2.882800006773323,313.5143999825232,20989.72616136919
1764043562,20,,Aggregated,15.900000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1648,0,5,16.023861165839424,2.882800006773323,313.5143999825232,21002.084344660194
1764043563,20,,Aggregated,15.700000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1663,0,5,16.000338725959047,2.882800006773323,313.5143999825232,20977.852675886952
1764043564,20,,Aggregated,15.500000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1679,0,5,16.002276891738756,2.882800006773323,313.5143999825232,21259.67361524717
1764043565,20,,Aggregated,15.100000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1693,0,5,15.962431778476947,2.882800006773323,313.5143999825232,21245.259893679857
1764043566,20,,Aggregated,15.500000,0.000000,5,9,19,45,47,48,50,52,71,310,310,1711,0,5,15.889369083010804,2.882800006773323,313.5143999825232,21028.95207481005
1764043567,20,,Aggregated,15.600000,0.000000,5,9,18,45,47,48,50,52,71,310,310,1722,0,5,15.868508711444543,2.882800006773323,313.5143999825232,21054.500580720094
1764043568,20,,Aggregated,15.000000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1736,0,5,15.925197523739886,2.882800006773323,313.5143999825232,21042.29723502304
1764043569,20,,Aggregated,14.900000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1755,0,5,15.972421539216395,2.882800006773323,313.5143999825232,20973.674643874645
1764043570,20,,Aggregated,14.700000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1772,0,5,15.98487014745091,2.882800006773323,313.5143999825232,20778.26862302483
1764043571,20,,Aggregated,14.400000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1789,0,5,15.973783119830479,2.882800006773323,313.5143999825232,20587.527669088875
1764043572,20,,Aggregated,14.800000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1808,0,5,15.924813441150004,2.882800006773323,313.5143999825232,20527.528761061945
1764043573,20,,Aggregated,15.200000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1822,0,5,15.889538036013773,2.882800006773323,313.5143999825232,20522.52799121844
1764043574,20,,Aggregated,15.400000,0.000000,5,9,19,45,47,48,50,52,71,310,310,1836,0,5,15.848661003050228,2.882800006773323,313.5143999825232,20372.239651416123
1764043575,20,,Aggregated,15.800000,0.000000,5,8,18,45,47,48,50,52,71,310,310,1855,0,5,15.808438491377467,2.882800006773323,313.5143999825232,20317.908894878707
1764043576,20,,Aggregated,15.900000,0.000000,5,8,18,45,47,48,50,52,71,310,310,1871,0,5,15.812809247188051,2.882800006773323,313.5143999825232,20439.59647247461
1764043577,20,,Aggregated,15.300000,0.000000,5,8,18,45,47,48,50,52,71,310,310,1887,0,5,15.794169688151896,2.882800006773323,313.5143999825232,20560.54372019078
1764043578,20,,Aggregated,16.200000,0.000000,5,9,19,45,47,48,50,52,71,310,310,1904,0,5,15.830229097469065,2.882800006773323,313.5143999825232,20956.42174369748
1764043579,20,,Aggregated,16.100000,0.000000,5,9,18,45,47,48,50,52,71,310,310,1924,0,5,15.80908139382214,2.882800006773323,313.5143999825232,21028.760914760915
1764043580,20,,Aggregated,16.300000,0.000000,5,8,18,45,47,48,50,52,71,310,310,1939,0,5,15.785728005026892,2.882800006773323,313.5143999825232,20871.62454873646
1764043581,20,,Aggregated,16.500000,0.000000,5,8,18,45,47,48,50,52,71,310,310,1955,0,5,15.779132839730558,2.882800006773323,313.5143999825232,20705.140153452685
1764043582,20,,Aggregated,16.200000,0.000000,5,8,19,45,47,48,50,52,71,310,310,1970,0,5,15.813267259766361,2.882800006773323,313.5143999825232,20692.79187817259
1764043583,20,,Aggregated,16.300000,0.000000,5,9,20,45,47,48,50,52,71,310,310,1987,0,5,15.845284248452876,2.882800006773323,313.5143999825232,20660.298439859085
1764043584,20,,Aggregated,16.600000,0.000000,5,9,20,45,47,48,50,52,71,310,310,2000,0,5,15.907359450822696,2.882800006773323,313.5143999825232,20806.632
1764043585,20,,Aggregated,16.400000,0.000000,5,9,20,45,47,48,50,52,69,310,310,2018,0,5,15.870626859002995,2.882800006773323,313.5143999825232,20627.53221010902
1764043586,20,,Aggregated,16.200000,0.000000,5,9,20,45,47,48,50,52,69,310,310,2033,0,5,15.8924972461832,2.882800006773323,313.5143999825232,20480.181505164783
1764043587,20,,Aggregated,16.500000,0.000000,5,8,20,45,47,48,50,52,69,310,310,2048,0,5,15.831937110050376,2.882800006773323,313.5143999825232,20335.8740234375
1764043588,20,,Aggregated,16.000000,0.000000,5,8,20,45,47,48,50,52,69,310,310,2064,0,5,15.891807558764695,2.882800006773323,313.5143999825232,20318.35901162791
1764043589,20,,Aggregated,16.100000,0.000000,5,8,20,45,47,48,50,52,69,310,310,2082,0,5,15.83499827150566,2.882800006773323,313.5143999825232,20283.967819404417
1764043590,20,,Aggregated,15.900000,0.000000,5,8,20,45,47,48,50,52,69,310,310,2096,0,5,15.846532061622737,2.882800006773323,313.5143999825232,20285.577290076337
1764043591,20,,Aggregated,15.700000,0.000000,5,8,19,45,47,48,50,52,69,310,310,2113,0,5,15.801101562283208,2.882800006773323,313.5143999825232,20527.065309985803
1764043592,20,,Aggregated,16.100000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2128,0,5,15.771816588873245,2.882800006773323,313.5143999825232,20518.757988721805
1764043593,20,,Aggregated,15.600000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2144,0,5,15.715238946445899,2.882800006773323,313.5143999825232,20764.30317164179
1764043594,20,,Aggregated,15.600000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2162,0,5,15.709003700796561,2.882800006773323,313.5143999825232,20727.72941720629
1764043595,20,,Aggregated,15.600000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2180,0,5,15.704074725236342,2.882800006773323,313.5143999825232,20822.507798165138
1764043596,20,,Aggregated,15.700000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2192,0,5,15.640800912857284,2.882800006773323,313.5143999825232,20713.167883211678
1764043597,20,,Aggregated,15.700000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2210,0,5,15.66992606385611,2.882800006773323,313.5143999825232,20806.621266968326
1764043598,20,,Aggregated,16.000000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2222,0,5,15.672256436093537,2.882800006773323,313.5143999825232,20824.99099909991
1764043599,20,,Aggregated,15.600000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2237,0,5,15.662036880225886,2.882800006773323,313.5143999825232,21071.045596781405
1764043600,20,,Aggregated,15.900000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2254,0,5,15.660200266635663,2.882800006773323,313.5143999825232,21043.99157054126
1764043602,20,,Aggregated,15.800000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2273,0,5,15.701986406130812,2.882800006773323,313.5143999825232,20999.0901891773
1764043603,20,,Aggregated,15.700000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2287,0,5,15.677759991675716,2.882800006773323,313.5143999825232,21125.637516397026
1764043604,20,,Aggregated,15.700000,0.000000,5,8,17,45,47,48,50,51,69,310,310,2302,0,5,15.628420547832032,2.882800006773323,313.5143999825232,21117.754561251088
1764043605,20,,Aggregated,15.700000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2320,0,5,15.661343405623358,2.882800006773323,313.5143999825232,21083.075
1764043606,20,,Aggregated,15.700000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2336,0,5,15.66613544563963,2.882800006773323,313.5143999825232,21188.76712328767
1764043607,20,,Aggregated,15.600000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2351,0,5,15.651408550046266,2.882800006773323,313.5143999825232,21179.440238196512
1764043608,20,,Aggregated,15.600000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2366,0,5,15.617852156069791,2.882800006773323,313.5143999825232,21171.835164835164
1764043609,20,,Aggregated,15.800000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2379,0,5,15.632754224982815,2.882800006773323,313.5143999825232,21302.37410676755
1764043610,20,,Aggregated,15.800000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2394,0,5,15.668710735658614,2.882800006773323,313.5143999825232,21171.604427736005
1764043611,20,,Aggregated,15.400000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2407,0,5,15.662813918166115,2.882800006773323,313.5143999825232,21181.921063564605
1764043612,20,,Aggregated,15.600000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2426,0,5,15.68452337229285,2.882800006773323,313.5143999825232,21140.920445177246
1764043613,20,,Aggregated,15.200000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2438,0,5,15.678673831538173,2.882800006773323,313.5143999825232,21039.97744052502
1764043614,20,,Aggregated,15.200000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2455,0,5,15.617832953803614,2.882800006773323,313.5143999825232,20899.5633401222
1764043615,20,,Aggregated,15.100000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2471,0,5,15.600721894681246,2.882800006773323,313.5143999825232,20886.516390125456
1764043616,20,,Aggregated,15.300000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2486,0,5,15.63927188325259,2.882800006773323,313.5143999825232,20763.764682220433
1764043617,20,,Aggregated,15.200000,0.000000,5,8,18,45,47,48,50,52,69,310,310,2504,0,5,15.648062261112129,2.882800006773323,313.5143999825232,20855.178115015973
1764043618,20,,Aggregated,14.900000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2518,0,5,15.604477204867683,2.882800006773323,313.5143999825232,20860.54487688642
1764043619,20,,Aggregated,15.200000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2534,0,5,15.603569850755411,2.882800006773323,313.5143999825232,20849.272691397
1764043620,20,,Aggregated,15.200000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2550,0,5,15.621111294843585,2.882800006773323,313.5143999825232,21070.06117647059
1764043621,20,,Aggregated,15.500000,0.000000,5,8,17,45,47,48,50,52,69,310,310,2569,0,5,15.579186766042236,2.882800006773323,313.5143999825232,21034.92954456987
